process_id,name,rate,rate_unit,fsg_year,source_id,source_reference,retrieval_date,notes
CNC_MILLING,CNC milling 3-axis,1.42,EUR_per_min,2026,PROC_SOURCE_CNCRECHNER,https://www.cncrechner.de/rechner/cnc-kosten/,2026-08-22,Midpoint of stated range EUR70-100/hr for 3-axis; 4/5-axis complex parts run EUR100-150/hr (use for tight-tolerance/aerospace-style parts if needed)
CNC_TURNING,CNC turning/lathe,1.375,EUR_per_min,2026,PROC_SOURCE_PREMIUMPARTS,https://www.premiumparts.com/blog/how-much-does-cnc-machining-cost-per-hour,2026-08-22,Midpoint of stated range EUR70-95/hr for standard 2-axis lathe; advanced lathes (driven tools/C-axis) run EUR95-130/hr; complex mill-turn centers EUR130-160+/hr
LASER_CUT_BEND,Laser cutting + sheet bending,2.33,EUR_per_min,2026,PROC_SOURCE_JFY_IHS,https://jfy.ihs-gmbh.de/expertenwissen/laserschneiden,2026-08-22,Used stated market average of EUR130-150/hr (midpoint EUR140/hr); full range EUR60-180/hr (small workshops as low as EUR40-60/hr; high-power fiber laser/complex tasks can exceed EUR200/hr). Note: rate covers laser cutting; sheet bending not separately broken out - may need distinct rate if bending is significant
WATERJET_CUT,Waterjet cutting,47.5,EUR_per_meter,2026,PROC_SOURCE_NUMIQ,https://numiq.com/de/bauarbeiten/wasserstrahlschneiden-60-x-60-cm-jollyecke/,2026-08-22,Used per-linear-meter basis (common quoting metric for German contract manufacturers) instead of per-hour to stay consistent with source. Straight cuts EUR35-60/m (midpoint 47.5 used); complex shapes EUR70-120/m depending on material thickness. NOTE: different rate_unit than other processes (per meter; not per min/hour) - convert per-part in BOM calc using estimated cut length; not machine time
TIG_WELDING,TIG welding,20,EUR_per_hour,2026,PROC_SOURCE_PAYSCALE_TIG,https://www.payscale.com/research/DE/Job=Tig_Welder/Hourly_Rate,2026-08-22,CAUTION: this is raw employee wage (median EUR20/hr; range EUR17-24/hr; base 7 salary profiles); NOT a billed shop rate. Not directly comparable to CNC_MILLING/CNC_TURNING/LASER_CUT_BEND rows which include machine cost+overhead+margin. Flagged in methodology as a known inconsistency across process rate bases.
MIG_WELDING,MIG welding,15,EUR_per_hour,2026,PROC_SOURCE_LINK2WORK_MIG,https://link2work.pl/en/oferty-pracy/mig-mag-welder-berlin-germany/,2026-08-22,CAUTION: this is a raw employee wage from a specific Berlin job listing (EUR15 gross/hr base); NOT a billed shop rate - same inconsistency flag as TIG_WELDING. Listing also includes daily allowances (EUR14-28/day) and other benefits not included in this hourly figure since they are per-diem/travel-related; not part of labor cost per hour.
FDM_3DPRINT,FDM 3D printing,12,EUR_per_hour,2026,PROC_SOURCE_TREATSTOCK_FDM,https://www.treatstock.com/c/3d-design-druckcom/services,2026-08-22,FDM 3D Printing Service - Bambu Lab X1C printer (professional service listing; min. order 1hr); supports ABS/PETG/Nylon/PLA/ASA; ship from Bargteheide; Germany
SLA_3DPRINT,SLA/resin 3D printing,0.265,EUR_per_gram,2026,PROC_SOURCE_SEN3DPRINTS_SLA,https://www.sen3dprints.com/germany/kassel/,2026-08-22,Used per-gram basis (different from FDM_3DPRINT which is per-hour) - midpoint of stated EUR0.13-0.40/gram material usage range; separate base/setup fee of EUR25-35 per prototype part not included in per-gram rate - add as flat fee per part if used; final cost also depends on resin type; setup fees; post-processing (support removal; curing) not captured in this single rate
ANODIZING,Anodizing surface finish,17.5,EUR_per_m2,2026,PROC_SOURCE_GOLDSUPPLIER_ANODIZING,https://cncservices.goldsupplier.com/anodizing-cost/,2026-08-22,Used per-square-meter basis (changed from planned EUR_per_part) - midpoint of stated EUR10-25/m2 (EUR1.00-2.50/dm2) for standard clear/decorative finishes; regular batch size. IMPORTANT: small orders (typical for a single FS team) are heavily impacted by minimum lot fees of EUR50-150/batch - this flat minimum likely dominates actual cost for small Formula Student part batches rather than the per-m2 rate; consider using the minimum fee directly per batch/part run instead of the per-m2 rate for realistic small-order costing
MANUAL_ASSEMBLY,Manual assembly labor,16.95,EUR_per_hour,2026,PROC_SOURCE_SALARYEXPERT_ASSEMBLY,https://www.salaryexpert.com/salary/job/industrial-technician/germany,2026-08-22,CAUTION: raw employee wage (Industriemechaniker/skilled metalworking technician); NOT a billed shop rate - same inconsistency flag as TIG_WELDING/MIG_WELDING. Used midpoint of stated EUR15.89-18.00/hr gross wage range. Median annual full-time base salary cited as EUR35; 800-41; 500; specialized/senior roles scale higher by region and collective agreements.
