material_id,name,density_kg_m3,yield_strength_mpa,unit_price_eur_per_kg,fsg_rate_id,source_id,retrieval_date,notes
AL_6061_T6,Aluminium 6061-T6,2700,276,39.20,,SUP_ONLINEMETALS_2026,2026-08-21,0.05in x 12x12in sheet PVC 1-side; retail small-qty price; part #1241; USD 13.59 converted at ~0.92 USD-EUR (verify exact rate/date used)
AL_7075_T6,Aluminium 7075-T6,2810,503,44.24,,SUP_ONLINEMETALS_2026,2026-08-21,0.04in x 12x12in sheet PVC 1-side; product is 7075-T6-CLAD (clad variant; thin pure-Al corrosion layer); part #21098; USD 12.75 converted at ~0.92 USD-EUR (verify exact rate/date used)
STEEL_S235,Structural steel S235 (proxy: A36),7850,250,8.86,,SUP_ONLINEMETALS_2026,2026-08-22,SUBSTITUTION: A36 used as closest common equivalent to S235 (not identical spec - flag in thesis methodology); 0.5in x 12x12in sheet hot-rolled unpolished; EUR 82.02 direct (Amazon marketplace listing of Online Metals store)
STEEL_4130_CRMO,Chromoly steel 4130,7850,460,49.44,,SUP_ONLINEMETALS_2026,2026-08-22,Sheet form (not tube as originally planned - tube not found on this listing page); annealed AMS 6350; 0.032in x 12x12in sheet; EUR 29.31 direct; yield_strength CONFIRMED 460 MPa (annealed condition min) per venuswires.com datasheet - corrected from initial 410 MPa estimate which was closer to normalized-condition value (435 MPa per matweb)
CF_PLATE_3K,Carbon fiber plate (3K twill proxy),1600,,499.75,,SUP_AMAZON_ENET_2026,2026-08-22,"SUBSTITUTION/CAUTION: product is carbon-fiber-veneer over fiberglass core (not pure CF laminate) - ""Carbon Plate 0.5mm x 200x250mm Fibreglass Plate on Both Sides""; density CONFIRMED within range (1.6-1.8 g/cm3 typical for 3mm CF sheet per runwaycfrp.com) - 1600 kg/m3 used as reasonable low-end estimate given thin veneer/core hybrid construction; EUR 19.99 direct (likely incl VAT); yield strength not applicable/not given for this composite board"
GFRP_SHEET,Glass fiber fabric (dry cloth proxy),2540,,45.94,,SUP_COMPOSITE_FABRIC_DE_2026,2026-08-22,CAUTION: this is dry glass fabric (160g/m2 twill) not a cured/rigid sheet - resin cost not included; exact supplier site unclear from screenshot (German site; Amazon Pay/SEPA) - CONFIRM URL; density is typical E-glass fiber value not fabric-specific
TI_GRADE5,Titanium Grade 5 (Ti-6Al-4V),4430,880,421.40,,SUP_ONLINEMETALS_2026,2026-08-22,Used 0.5in dia x 12in bar (EUR72.10) instead of 0.125in dia bar shown first - the thin 0.125in bar gave an unrealistic EUR2562/kg due to minimum-cut pricing; yield_strength typical annealed value - VERIFY
POM_DELRIN,POM/Delrin acetal,1410,72,93.23,,SUP_ONLINEMETALS_2026,2026-08-22,24x24x0.25in sheet (larger than the 12x12in used for metals - note size inconsistency); EUR 310.20 direct; tensile/yield strength CONFIRMED ~68-80 MPa range across multiple datasheets (Infinita Lab 68-72 MPa; DirectPlastics own Delrin Black datasheet 80 MPa; Xometry 72.9 MPa flexural) - used 72 MPa as representative mid-range value; corrected from initial 65 MPa estimate
NYLON_PA6,Nylon PA6,1140,82,35.96,,SUP_NYLON_UK_2026,2026-08-22,250x250x2mm sheet; GBP 4.38 incl VAT converted at ~1.17 GBP-EUR (verify exact rate/date); yield_strength CONFIRMED 82 MPa per DirectPlastics' own PA6-Natural datasheet (same supplier as purchase; density 1.14g/cm3 matches natural-colour variant exactly) - corrected from initial 50 MPa estimate
ABS_3DPRINT,ABS filament 3D printing,1040,,17.98,,SUP_AMAZON_ANYCUBIC_2026,2026-08-22,ANYCUBIC brand 1.75mm 1kg spool; EUR 17.98 is discounted price (-25% from RRP EUR23.99) - note deal pricing may not be stable long-term; density for reference only; not used in per-kg calc since sold by weight
NYLON_PA6_FILAMENT,Nylon PA6 3D printing filament,1140,82,40.00,,SUP_3DDRUCKSHOPNORD_2026,2026-08-22,"Spectrum Filaments PA6 Low Warp, 1.75mm, 1kg spool, natural colour; EUR40.00/kg incl VAT direct - no conversion needed; density/yield_strength carried over from NYLON_PA6 sheet-stock entry (same base polymer PA6) - properties of printed parts will differ somewhat from sheet stock due to layer-based FDM structure, flag as limitation; added specifically to separate 3D-print filament pricing from sheet-stock pricing after PILOT_010 mismatch was caught"
