source_id,source_type,title,organisation,year_or_date,retrieval_date,location,licence_terms_note,redistributable,data_to_extract,notes
FSG_RULES_2026,official FSG,Formula Student Rules 2026 v1.1,Formula Student Germany,2026,2026-08-21,official FSG source,public rules document - freely distributable,yes,CCBOM methodology; BOM structure; scoring rules (NOTE: no fixed cost rate table - see provenance_notes.md),Confirmed: does not contain per-kg/per-minute rate tables. Teams must source own realistic rates.
MAT_SOURCE_THYSSENKRUPP,supplier,ThyssenKrupp Materials metal pricing,ThyssenKrupp Materials,current,,catalog/website,check,check,per-kg metal prices for materials.csv,Fill in exact retrieval_date and page/SKU when pulling each price
MAT_SOURCE_EASYCOMPOSITES,supplier,Easycomposites composite pricing,Easycomposites,current,,catalog/website,check,check,per-kg/per-sheet composite prices,Fill in exact retrieval_date and SKU when pulling each price
PROC_SOURCE_RATES,generic catalogue,Machine shop rate reference (CustomPartNet or equivalent),TBD,current,,website,check,check,per-minute/per-hour machining and process rates,Choose one specific rate reference and log its exact URL/date
SUP_MISUMI_2026,supplier,Misumi fastener catalog,Misumi,2026,,catalog/API,check,check,fastener unit prices,Freeze exact retrieval date when pulling fastener prices
SUP_ONLINEMETALS_2026,supplier,OnlineMetals.com material pricing,OnlineMetals.com,2026,2026-08-21,catalog/website (also accessed via Amazon.de marketplace listing),check,check,per-kg metal/plastic prices for materials.csv,USD/EUR pricing - record exchange rate used for each conversion
SUP_NYLON_UK_2026,supplier,Nylon 6 sheet supplier,Direct Plastics,2026,2026-08-22,https://www.directplastics.co.uk/nylon-6-sheet,check,check,nylon PA6 sheet price,Confirmed URL - UK-based plastics retailer
SUP_AMAZON_ENET_2026,supplier,ENET Store carbon/fiberglass plate (via Amazon),ENET (Amazon marketplace seller),2026,2026-08-22,Amazon.de marketplace listing,check,check,carbon-fiber-veneer/fiberglass plate price,Product is a hybrid CF/FG board; not pure CF laminate - noted in materials.csv
SUP_COMPOSITE_FABRIC_DE_2026,supplier,Glass fabric 160g/m2 twill weave,R&G Faserverbundwerkstoffe (r-g.de),2026,2026-08-22,https://www.r-g.de/en/art/190118,check,check,dry glass fiber fabric price per m2,Confirmed URL - German composites supplier; item no. 1901181
SUP_AMAZON_ANYCUBIC_2026,supplier,ANYCUBIC ABS filament,ANYCUBIC (via Amazon.de),2026,2026-08-22,https://www.amazon.de/-/en/ANYCUBIC-Components-Temperature-Intelligent-Identification/dp/B0DRV31FST,check,check,ABS 3D printing filament price,Confirmed URL - price reflects a temporary -25% discount; noted in materials.csv
